ticker,name,cik,sector,industry
MMM,3M,66740,Industrials,Industrial Conglomerates
AOS,A. O. Smith,91142,Industrials,Building Products
ABT,Abbott Laboratories,1800,Health Care,Health Care Equipment
ABBV,AbbVie,1551152,Health Care,Biotechnology
ACN,Accenture,1467373,Information Technology,IT Consulting & Other Services
ADBE,Adobe Inc.,796343,Information Technology,Application Software
AMD,Advanced Micro Devices,2488,Information Technology,Semiconductors
AES,AES Corporation,874761,Utilities,Independent Power Producers & Energy Traders
AFL,Aflac,4977,Financials,Life & Health Insurance
A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services
APD,Air Products,2969,Materials,Industrial Gases
ABNB,Airbnb,1559720,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AKAM,Akamai Technologies,1086222,Information Technology,Internet Services & Infrastructure
ALB,Albemarle Corporation,915913,Materials,Specialty Chemicals
ARE,Alexandria Real Estate Equities,1035443,Real Estate,Office REITs
ALGN,Align Technology,1097149,Health Care,Health Care Supplies
ALLE,Allegion,1579241,Industrials,Building Products
LNT,Alliant Energy,352541,Utilities,Electric Utilities
ALL,Allstate,899051,Financials,Property & Casualty Insurance
GOOGL,Alphabet Inc. (Class A),1652044,Communication Services,Interactive Media & Services
GOOG,Alphabet Inc. (Class C),1652044,Communication Services,Interactive Media & Services
MO,Altria,764180,Consumer Staples,Tobacco
AMZN,Amazon,1018724,Consumer Discretionary,Broadline Retail
AMCR,Amcor,1748790,Materials,Paper & Plastic Packaging Products & Materials
AEE,Ameren,1002910,Utilities,Multi-Utilities
AEP,American Electric Power,4904,Utilities,Electric Utilities
AXP,American Express,4962,Financials,Consumer Finance
AIG,American International Group,5272,Financials,Multi-line Insurance
AMT,American Tower,1053507,Real Estate,Telecom Tower REITs
AWK,American Water Works,1410636,Utilities,Water Utilities
AMP,Ameriprise Financial,820027,Financials,Asset Management & Custody Banks
AME,Ametek,1037868,Industrials,Electrical Components & Equipment
AMGN,Amgen,318154,Health Care,Biotechnology
APH,Amphenol,820313,Information Technology,Electronic Components
ADI,Analog Devices,6281,Information Technology,Semiconductors
AON,Aon plc,315293,Financials,Insurance Brokers
APA,APA Corporation,1841666,Energy,Oil & Gas Exploration & Production
APO,Apollo Global Management,1858681,Financials,Asset Management & Custody Banks
AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,Applied Materials,6951,Information Technology,Semiconductor Materials & Equipment
APTV,Aptiv,1521332,Consumer Discretionary,Automotive Parts & Equipment
ACGL,Arch Capital Group,947484,Financials,Property & Casualty Insurance
ADM,Archer Daniels Midland,7084,Consumer Staples,Agricultural Products & Services
ANET,Arista Networks,1596532,Information Technology,Communications Equipment
AJG,Arthur J. Gallagher & Co.,354190,Financials,Insurance Brokers
AIZ,Assurant,1267238,Financials,Multi-line Insurance
T,AT&T,732717,Communication Services,Integrated Telecommunication Services
ATO,Atmos Energy,731802,Utilities,Gas Utilities
ADSK,Autodesk,769397,Information Technology,Application Software
ADP,Automatic Data Processing,8670,Industrials,Human Resource & Employment Services
AZO,AutoZone,866787,Consumer Discretionary,Automotive Retail
AVB,AvalonBay Communities,915912,Real Estate,Multi-Family Residential REITs
AVY,Avery Dennison,8818,Materials,Paper & Plastic Packaging Products & Materials
AXON,Axon Enterprise,1069183,Industrials,Aerospace & Defense
BKR,Baker Hughes,1701605,Energy,Oil & Gas Equipment & Services
BALL,Ball Corporation,9389,Materials,"Metal, Glass & Plastic Containers"
BAC,Bank of America,70858,Financials,Diversified Banks
BAX,Baxter International,10456,Health Care,Health Care Equipment
BDX,Becton Dickinson,10795,Health Care,Health Care Equipment
BRK.B,Berkshire Hathaway,1067983,Financials,Multi-Sector Holdings
BBY,Best Buy,764478,Consumer Discretionary,Computer & Electronics Retail
TECH,Bio-Techne,842023,Health Care,Life Sciences Tools & Services
BIIB,Biogen,875045,Health Care,Biotechnology
BLK,BlackRock,2012383,Financials,Asset Management & Custody Banks
BX,Blackstone Inc.,1393818,Financials,Asset Management & Custody Banks
XYZ,"Block, Inc.",1512673,Financials,Transaction & Payment Processing Services
BK,BNY Mellon,1390777,Financials,Asset Management & Custody Banks
BA,Boeing,12927,Industrials,Aerospace & Defense
BKNG,Booking Holdings,1075531,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BSX,Boston Scientific,885725,Health Care,Health Care Equipment
BMY,Bristol Myers Squibb,14272,Health Care,Pharmaceuticals
AVGO,Broadcom,1730168,Information Technology,Semiconductors
BR,Broadridge Financial Solutions,1383312,Industrials,Data Processing & Outsourced Services
BRO,Brown & Brown,79282,Financials,Insurance Brokers
BF.B,Brown–Forman,14693,Consumer Staples,Distillers & Vintners
BLDR,Builders FirstSource,1316835,Industrials,Building Products
BG,Bunge Global,1996862,Consumer Staples,Agricultural Products & Services
BXP,"BXP, Inc.",1037540,Real Estate,Office REITs
CHRW,C.H. Robinson,1043277,Industrials,Air Freight & Logistics
CDNS,Cadence Design Systems,813672,Information Technology,Application Software
CZR,Caesars Entertainment,1590895,Consumer Discretionary,Casinos & Gaming
CPT,Camden Property Trust,906345,Real Estate,Multi-Family Residential REITs
CPB,Campbell's Company (The),16732,Consumer Staples,Packaged Foods & Meats
COF,Capital One,927628,Financials,Consumer Finance
CAH,Cardinal Health,721371,Health Care,Health Care Distributors
KMX,CarMax,1170010,Consumer Discretionary,Automotive Retail
CCL,Carnival,815097,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CARR,Carrier Global,1783180,Industrials,Building Products
CAT,Caterpillar Inc.,18230,Industrials,Construction Machinery & Heavy Transportation Equipment
CBOE,Cboe Global Markets,1374310,Financials,Financial Exchanges & Data
CBRE,CBRE Group,1138118,Real Estate,Real Estate Services
CDW,CDW Corporation,1402057,Information Technology,Technology Distributors
COR,Cencora,1140859,Health Care,Health Care Distributors
CNC,Centene Corporation,1071739,Health Care,Managed Health Care
CNP,CenterPoint Energy,1130310,Utilities,Multi-Utilities
CF,CF Industries,1324404,Materials,Fertilizers & Agricultural Chemicals
CRL,Charles River Laboratories,1100682,Health Care,Life Sciences Tools & Services
SCHW,Charles Schwab Corporation,316709,Financials,Investment Banking & Brokerage
CHTR,Charter Communications,1091667,Communication Services,Cable & Satellite
CVX,Chevron Corporation,93410,Energy,Integrated Oil & Gas
CMG,Chipotle Mexican Grill,1058090,Consumer Discretionary,Restaurants
CB,Chubb Limited,896159,Financials,Property & Casualty Insurance
CHD,Church & Dwight,313927,Consumer Staples,Household Products
CI,Cigna,1739940,Health Care,Health Care Services
CINF,Cincinnati Financial,20286,Financials,Property & Casualty Insurance
CTAS,Cintas,723254,Industrials,Diversified Support Services
CSCO,Cisco,858877,Information Technology,Communications Equipment
C,Citigroup,831001,Financials,Diversified Banks
CFG,Citizens Financial Group,759944,Financials,Regional Banks
CLX,Clorox,21076,Consumer Staples,Household Products
CME,CME Group,1156375,Financials,Financial Exchanges & Data
CMS,CMS Energy,811156,Utilities,Multi-Utilities
KO,Coca-Cola Company (The),21344,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
CTSH,Cognizant,1058290,Information Technology,IT Consulting & Other Services
COIN,Coinbase,1679788,Financials,Financial Exchanges & Data
CL,Colgate-Palmolive,21665,Consumer Staples,Household Products
CMCSA,Comcast,1166691,Communication Services,Cable & Satellite
CAG,Conagra Brands,23217,Consumer Staples,Packaged Foods & Meats
COP,ConocoPhillips,1163165,Energy,Oil & Gas Exploration & Production
ED,Consolidated Edison,1047862,Utilities,Multi-Utilities
STZ,Constellation Brands,16918,Consumer Staples,Distillers & Vintners
CEG,Constellation Energy,1868275,Utilities,Electric Utilities
COO,Cooper Companies (The),711404,Health Care,Health Care Supplies
CPRT,Copart,900075,Industrials,Diversified Support Services
GLW,Corning Inc.,24741,Information Technology,Electronic Components
CPAY,Corpay,1175454,Financials,Transaction & Payment Processing Services
CTVA,Corteva,1755672,Materials,Fertilizers & Agricultural Chemicals
CSGP,CoStar Group,1057352,Real Estate,Real Estate Services
COST,Costco,909832,Consumer Staples,Consumer Staples Merchandise Retail
CTRA,Coterra,858470,Energy,Oil & Gas Exploration & Production
CRWD,CrowdStrike,1535527,Information Technology,Systems Software
CCI,Crown Castle,1051470,Real Estate,Telecom Tower REITs
CSX,CSX Corporation,277948,Industrials,Rail Transportation
CMI,Cummins,26172,Industrials,Construction Machinery & Heavy Transportation Equipment
CVS,CVS Health,64803,Health Care,Health Care Services
DHR,Danaher Corporation,313616,Health Care,Life Sciences Tools & Services
DRI,Darden Restaurants,940944,Consumer Discretionary,Restaurants
DDOG,Datadog,1561550,Information Technology,Application Software
DVA,DaVita,927066,Health Care,Health Care Services
DAY,Dayforce,1725057,Industrials,Human Resource & Employment Services
DECK,Deckers Brands,910521,Consumer Discretionary,Footwear
DE,Deere & Company,315189,Industrials,Agricultural & Farm Machinery
DELL,Dell Technologies,1571996,Information Technology,"Technology Hardware, Storage & Peripherals"
DAL,Delta Air Lines,27904,Industrials,Passenger Airlines
DVN,Devon Energy,1090012,Energy,Oil & Gas Exploration & Production
DXCM,Dexcom,1093557,Health Care,Health Care Equipment
FANG,Diamondback Energy,1539838,Energy,Oil & Gas Exploration & Production
DLR,Digital Realty,1297996,Real Estate,Data Center REITs
DG,Dollar General,29534,Consumer Staples,Consumer Staples Merchandise Retail
DLTR,Dollar Tree,935703,Consumer Staples,Consumer Staples Merchandise Retail
D,Dominion Energy,715957,Utilities,Multi-Utilities
DPZ,Domino's,1286681,Consumer Discretionary,Restaurants
DASH,DoorDash,1792789,Consumer Discretionary,Specialized Consumer Services
DOV,Dover Corporation,29905,Industrials,Industrial Machinery & Supplies & Components
DOW,Dow Inc.,1751788,Materials,Commodity Chemicals
DHI,D. R. Horton,882184,Consumer Discretionary,Homebuilding
DTE,DTE Energy,936340,Utilities,Multi-Utilities
DUK,Duke Energy,1326160,Utilities,Electric Utilities
DD,DuPont,1666700,Materials,Specialty Chemicals
EMN,Eastman Chemical Company,915389,Materials,Specialty Chemicals
ETN,Eaton Corporation,1551182,Industrials,Electrical Components & Equipment
EBAY,eBay Inc.,1065088,Consumer Discretionary,Broadline Retail
ECL,Ecolab,31462,Materials,Specialty Chemicals
EIX,Edison International,827052,Utilities,Electric Utilities
EW,Edwards Lifesciences,1099800,Health Care,Health Care Equipment
EA,Electronic Arts,712515,Communication Services,Interactive Home Entertainment
ELV,Elevance Health,1156039,Health Care,Managed Health Care
EMR,Emerson Electric,32604,Industrials,Electrical Components & Equipment
ENPH,Enphase Energy,1463101,Information Technology,Semiconductor Materials & Equipment
ETR,Entergy,65984,Utilities,Electric Utilities
EOG,EOG Resources,821189,Energy,Oil & Gas Exploration & Production
EPAM,EPAM Systems,1352010,Information Technology,IT Consulting & Other Services
EQT,EQT Corporation,33213,Energy,Oil & Gas Exploration & Production
EFX,Equifax,33185,Industrials,Research & Consulting Services
EQIX,Equinix,1101239,Real Estate,Data Center REITs
EQR,Equity Residential,906107,Real Estate,Multi-Family Residential REITs
ERIE,Erie Indemnity,922621,Financials,Insurance Brokers
ESS,Essex Property Trust,920522,Real Estate,Multi-Family Residential REITs
EL,Estée Lauder Companies (The),1001250,Consumer Staples,Personal Care Products
EG,Everest Group,1095073,Financials,Reinsurance
EVRG,Evergy,1711269,Utilities,Electric Utilities
ES,Eversource Energy,72741,Utilities,Electric Utilities
EXC,Exelon,1109357,Utilities,Electric Utilities
EXE,Expand Energy,895126,Energy,Oil & Gas Exploration & Production
EXPE,Expedia Group,1324424,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
EXPD,Expeditors International,746515,Industrials,Air Freight & Logistics
EXR,Extra Space Storage,1289490,Real Estate,Self-Storage REITs
XOM,ExxonMobil,34088,Energy,Integrated Oil & Gas
FFIV,"F5, Inc.",1048695,Information Technology,Communications Equipment
FDS,FactSet,1013237,Financials,Financial Exchanges & Data
FICO,Fair Isaac,814547,Information Technology,Application Software
FAST,Fastenal,815556,Industrials,Trading Companies & Distributors
FRT,Federal Realty Investment Trust,34903,Real Estate,Retail REITs
FDX,FedEx,1048911,Industrials,Air Freight & Logistics
FIS,Fidelity National Information Services,1136893,Financials,Transaction & Payment Processing Services
FITB,Fifth Third Bancorp,35527,Financials,Regional Banks
FSLR,First Solar,1274494,Information Technology,Semiconductors
FE,FirstEnergy,1031296,Utilities,Electric Utilities
FI,Fiserv,798354,Financials,Transaction & Payment Processing Services
F,Ford Motor Company,37996,Consumer Discretionary,Automobile Manufacturers
FTNT,Fortinet,1262039,Information Technology,Systems Software
FTV,Fortive,1659166,Industrials,Industrial Machinery & Supplies & Components
FOXA,Fox Corporation (Class A),1754301,Communication Services,Broadcasting
FOX,Fox Corporation (Class B),1754301,Communication Services,Broadcasting
BEN,Franklin Resources,38777,Financials,Asset Management & Custody Banks
FCX,Freeport-McMoRan,831259,Materials,Copper
GRMN,Garmin,1121788,Consumer Discretionary,Consumer Electronics
IT,Gartner,749251,Information Technology,IT Consulting & Other Services
GE,GE Aerospace,40545,Industrials,Aerospace & Defense
GEHC,GE HealthCare,1932393,Health Care,Health Care Equipment
GEV,GE Vernova,1996810,Industrials,Heavy Electrical Equipment
GEN,Gen Digital,849399,Information Technology,Systems Software
GNRC,Generac,1474735,Industrials,Electrical Components & Equipment
GD,General Dynamics,40533,Industrials,Aerospace & Defense
GIS,General Mills,40704,Consumer Staples,Packaged Foods & Meats
GM,General Motors,1467858,Consumer Discretionary,Automobile Manufacturers
GPC,Genuine Parts Company,40987,Consumer Discretionary,Distributors
GILD,Gilead Sciences,882095,Health Care,Biotechnology
GPN,Global Payments,1123360,Financials,Transaction & Payment Processing Services
GL,Globe Life,320335,Financials,Life & Health Insurance
GDDY,GoDaddy,1609711,Information Technology,Internet Services & Infrastructure
GS,Goldman Sachs,886982,Financials,Investment Banking & Brokerage
HAL,Halliburton,45012,Energy,Oil & Gas Equipment & Services
HIG,Hartford (The),874766,Financials,Property & Casualty Insurance
HAS,Hasbro,46080,Consumer Discretionary,Leisure Products
HCA,HCA Healthcare,860730,Health Care,Health Care Facilities
DOC,Healthpeak Properties,765880,Real Estate,Health Care REITs
HSIC,Henry Schein,1000228,Health Care,Health Care Distributors
HSY,Hershey Company (The),47111,Consumer Staples,Packaged Foods & Meats
HPE,Hewlett Packard Enterprise,1645590,Information Technology,"Technology Hardware, Storage & Peripherals"
HLT,Hilton Worldwide,1585689,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HOLX,Hologic,859737,Health Care,Health Care Equipment
HD,Home Depot (The),354950,Consumer Discretionary,Home Improvement Retail
HON,Honeywell,773840,Industrials,Industrial Conglomerates
HRL,Hormel Foods,48465,Consumer Staples,Packaged Foods & Meats
HST,Host Hotels & Resorts,1070750,Real Estate,Hotel & Resort REITs
HWM,Howmet Aerospace,4281,Industrials,Aerospace & Defense
HPQ,HP Inc.,47217,Information Technology,"Technology Hardware, Storage & Peripherals"
HUBB,Hubbell Incorporated,48898,Industrials,Industrial Machinery & Supplies & Components
HUM,Humana,49071,Health Care,Managed Health Care
HBAN,Huntington Bancshares,49196,Financials,Regional Banks
HII,Huntington Ingalls Industries,1501585,Industrials,Aerospace & Defense
IBM,IBM,51143,Information Technology,IT Consulting & Other Services
IEX,IDEX Corporation,832101,Industrials,Industrial Machinery & Supplies & Components
IDXX,Idexx Laboratories,874716,Health Care,Health Care Equipment
ITW,Illinois Tool Works,49826,Industrials,Industrial Machinery & Supplies & Components
INCY,Incyte,879169,Health Care,Biotechnology
IR,Ingersoll Rand,1699150,Industrials,Industrial Machinery & Supplies & Components
PODD,Insulet Corporation,1145197,Health Care,Health Care Equipment
INTC,Intel,50863,Information Technology,Semiconductors
ICE,Intercontinental Exchange,1571949,Financials,Financial Exchanges & Data
IFF,International Flavors & Fragrances,51253,Materials,Specialty Chemicals
IP,International Paper,51434,Materials,Paper & Plastic Packaging Products & Materials
IPG,Interpublic Group of Companies (The),51644,Communication Services,Advertising
INTU,Intuit,896878,Information Technology,Application Software
ISRG,Intuitive Surgical,1035267,Health Care,Health Care Equipment
IVZ,Invesco,914208,Financials,Asset Management & Custody Banks
INVH,Invitation Homes,1687229,Real Estate,Single-Family Residential REITs
IQV,IQVIA,1478242,Health Care,Life Sciences Tools & Services
IRM,Iron Mountain,1020569,Real Estate,Other Specialized REITs
JBHT,J.B. Hunt,728535,Industrials,Cargo Ground Transportation
JBL,Jabil,898293,Information Technology,Electronic Manufacturing Services
JKHY,Jack Henry & Associates,779152,Financials,Transaction & Payment Processing Services
J,Jacobs Solutions,52988,Industrials,Construction & Engineering
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals
JCI,Johnson Controls,833444,Industrials,Building Products
JPM,JPMorgan Chase,19617,Financials,Diversified Banks
K,Kellanova,55067,Consumer Staples,Packaged Foods & Meats
KVUE,Kenvue,1944048,Consumer Staples,Personal Care Products
KDP,Keurig Dr Pepper,1418135,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEY,KeyCorp,91576,Financials,Regional Banks
KEYS,Keysight Technologies,1601046,Information Technology,Electronic Equipment & Instruments
KMB,Kimberly-Clark,55785,Consumer Staples,Household Products
KIM,Kimco Realty,879101,Real Estate,Retail REITs
KMI,Kinder Morgan,1506307,Energy,Oil & Gas Storage & Transportation
KKR,KKR & Co.,1404912,Financials,Asset Management & Custody Banks
KLAC,KLA Corporation,319201,Information Technology,Semiconductor Materials & Equipment
KHC,Kraft Heinz,1637459,Consumer Staples,Packaged Foods & Meats
